 Tenure in Months  Churn Value  Total Customer Svc Requests  Product/Service Issues Reported  Customer Satisfaction  Contract_Month-to-Month  Contract_One Year  Contract_Two Year  Churn Category_0  Churn Category_Attitude  Churn Category_Competitor  Churn Category_Dissatisfaction  Churn Category_Other  Churn Category_Price  Churn Reason_0  Churn Reason_Attitude of service provider  Churn Reason_Attitude of support person  Churn Reason_Competitor had better devices  Churn Reason_Competitor made better offer  Churn Reason_Competitor offered higher download speeds  Churn Reason_Competitor offered more data  Churn Reason_Deceased  Churn Reason_Don't know  Churn Reason_Extra data charges  Churn Reason_Lack of affordable download/upload speed  Churn Reason_Lack of self-service on Website  Churn Reason_Limited range of services  Churn Reason_Long distance charges  Churn Reason_Moved  Churn Reason_Network reliability  Churn Reason_Poor expertise of online support  Churn Reason_Poor expertise of phone support  Churn Reason_Price too high  Churn Reason_Product dissatisfaction  Churn Reason_Service dissatisfaction
               38            1                            3                                1                    1.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               35            1                            6                                2                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            5                                2                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               30            1                            1                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                5            1                            5                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            4                                1                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               58            1                            0                                0                    0.0                    False               True              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               16            1                            8                                2                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            2                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                5            1                            4                                1                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               21            1                            1                                1                    1.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                  True                                 False
               43            1                            2                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               32            1                            5                                0                    3.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            4                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               29            1                            4                                0                    3.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               13            1                            3                                2                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                7            1                            5                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                2            1                            3                                6                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            0                                0                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                7            1                            2                                0                    2.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               57            1                            5                                0                    2.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                      False                                     True                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            2                                1                    0.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               17            1                            5                                3                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                3            1                            2                                1                    2.0                     True              False              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               66            1                            0                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               69            1                            1                                0                    0.0                    False              False               True             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               15            1                            4                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               56            1                            2                                0                    0.0                    False               True              False             False                     True                      False                           False                 False                 False           False                                       True                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               21            1                            0                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                1            1                            1                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               32            1                            3                                1                    2.0                     True              False              False             False                    False                      False                           False                  True                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False                True                             False                                          False                                         False                        False                                 False                                 False
               40            1                            3                                2                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                2            1                            3                                0                    3.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                       True                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
                7            1                            6                                0                    3.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               31            1                            4                                0                    0.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                       False                                       True                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               14            1                            1                                4                    0.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                  True                                 False
               15            1                            4                                2                    1.0                     True              False              False             False                    False                       True                           False                 False                 False           False                                      False                                    False                                        True                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                 False                                 False
               59            1                            3                                1                    0.0                     True              False              False             False                    False                      False                           False                 False                  True           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                         True                                 False                                 False
               46            1                            3                                2                    0.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                         False                        False                                  True                                 False
               25            1                            1                                0                    3.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                           True                                         False                        False                                 False                                 False
               16            1                            2                                0                    0.0                     True              False              False             False                    False                      False                            True                 False                 False           False                                      False                                    False                                       False                                      False                                                   False                                      False                  False                    False                            False                                                  False                                         False                                   False                               False               False                             False                                          False                                          True                        False                                 False                                 False
